tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,Director name,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0004972,1915,6.2,The Birth of a Nation,m/birth_of_a_nation,D.W. Griffith,The Birth of a Nation,Fresh,93.0
tt0006864,1916,7.7,Intolerance,m/1010644-intolerance,D.W. Griffith,Intolerance,Fresh,97.0
tt0009968,1919,7.3,Broken Blossoms,m/1003120-broken_blossoms,D.W. Griffith,Broken Blossoms,Fresh,95.0
tt0010323,1920,8.0,The Cabinet of Dr. Caligari,m/the_cabinet_of_dr_caligari,Robert Wiene,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),Certified-Fresh,98.0
tt0011237,1920,7.2,The Golem,,Carl Boese,,,
tt0012494,1921,7.6,Destiny,,Fritz Lang,,,
tt0013086,1922,7.8,"Dr. Mabuse, the Gambler",,Fritz Lang,,,
tt0013427,1922,7.6,Nanook of the North,m/nanook_of_the_north,Robert J. Flaherty,Nanook of the North,Fresh,100.0
tt0013442,1922,7.9,Nosferatu,,F.W. Murnau,,,
tt0014341,1923,7.8,Our Hospitality,,John G. Blystone,,,
tt0014429,1923,8.1,Safety Last!,m/safety_last,Fred C. Newmeyer,Safety Last!,Fresh,97.0
tt0014429,1923,8.1,Safety Last!,m/safety_last,Sam Taylor,Safety Last!,Fresh,97.0
tt0015064,1924,8.0,The Last Laugh,,F.W. Murnau,,,
tt0015163,1924,7.6,The Navigator,,Donald Crisp,,,
tt0015361,1925,7.6,Strike,,Sergei Eisenstein,,,
tt0015400,1924,7.7,The Thief of Bagdad,m/the_thief_of_bagdad,Raoul Walsh,The Thief of Bagdad,Fresh,96.0
tt0015532,1926,7.8,The Adventures of Prince Achmed,,Lotte Reiniger,,,
tt0015532,1926,7.8,The Adventures of Prince Achmed,,Carl Koch,,,
tt0015624,1925,7.9,The Big Parade,,King Vidor,,,
tt0015624,1925,7.9,The Big Parade,,George W. Hill,,,
tt0015648,1925,8.0,Battleship Potemkin,m/battleship_potemkin,Sergei Eisenstein,Battleship Potemkin,Certified-Fresh,100.0
tt0015881,1924,8.1,Greed,,Erich von Stroheim,,,
tt0016220,1925,7.5,The Phantom of the Opera,,Rupert Julian,,,
tt0016220,1925,7.5,The Phantom of the Opera,,Ernst Laemmle,,,
tt0016220,1925,7.5,The Phantom of the Opera,,Edward Sedgwick,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,Fred Niblo,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,Charles Brabin,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,Christy Cabanne,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,J.J. Cohn,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,Rex Ingram,,,
tt0016847,1926,8.1,Faust,m/1031274-faust,F.W. Murnau,Faust,Fresh,94.0
tt0017075,1927,7.3,The Lodger: A Story of the London Fog,m/1044925-lodger,Alfred Hitchcock,The Lodger: A Story of the London Fog,Fresh,96.0
tt0017136,1927,8.3,Metropolis,m/1013775-metropolis,Fritz Lang,Metropolis,Certified-Fresh,97.0
tt0017925,1926,8.2,The General,,Clyde Bruckman,,,
tt0018037,1927,6.4,The Jazz Singer,m/1010978-jazz_singer,Alan Crosland,The Jazz Singer,Fresh,75.0
tt0018192,1927,8.2,Napoleon,,Abel Gance,,,
tt0018217,1927,7.4,October (Ten Days that Shook the World),,Grigoriy Aleksandrov,,,
tt0018217,1927,7.4,October (Ten Days that Shook the World),,Sergei Eisenstein,,,
tt0018455,1927,8.1,Sunrise,,F.W. Murnau,,,
tt0018528,1927,7.8,The Unknown,,Tod Browning,,,
tt0018578,1927,7.6,Wings,m/wings,William A. Wellman,Wings,Certified-Fresh,93.0
tt0018578,1927,7.6,Wings,m/wings,Harry d'Abbadie d'Arrast,Wings,Certified-Fresh,93.0
tt0018737,1929,7.8,Pandora's Box,,Georg Wilhelm Pabst,,,
tt0018742,1928,8.0,The Cameraman,,Edward Sedgwick,,,
tt0018806,1928,8.1,The Crowd,,King Vidor,,,
tt0019130,1928,7.7,The Man Who Laughs,,Paul Leni,,,
tt0019254,1928,8.2,The Passion of Joan of Arc,m/passion_of_joan_of_arc,Carl Theodor Dreyer,The Passion of Joan of Arc (La Passion de Jeanne d'Arc),Certified-Fresh,98.0
tt0019421,1928,7.8,"Steamboat Bill, Jr.",,Charles Reisner,,,
tt0019585,1928,8.0,The Wind,,Victor Sjöström,,,
tt0019702,1929,6.9,Blackmail,m/1002540-blackmail,Alfred Hitchcock,Blackmail,Fresh,86.0
tt0019729,1929,5.6,The Broadway Melody,m/broadway_melody,Harry Beaumont,The Broadway Melody,Rotten,33.0
tt0019760,1929,8.4,Man with a Movie Camera,,Dziga Vertov,,,
tt0019777,1929,6.8,The Cocoanuts,,Robert Florey,,,
tt0019777,1929,6.8,The Cocoanuts,,Joseph Santley,,,
tt0020629,1930,8.1,All Quiet on the Western Front,,Lewis Milestone,,,
tt0020640,1930,7.4,Animal Crackers,,Victor Heerman,,,
tt0020697,1930,7.7,The Blue Angel,,Josef von Sternberg,,,
tt0021079,1931,7.2,Little Caesar,m/little_caesar,Mervyn LeRoy,Little Caesar,Fresh,92.0
