tconst,Year,IMDb rating,Movie title,Staff name,dir_mov,dir_mov_set
tt0004972,1915,6.2,The Birth of a Nation,D.W. Griffith,The Birth of a Nation D.W. Griffith,"frozenset({'Birth', 'Griffith', 'of', 'The', 'Nation', 'D.W.', 'a'})"
tt0006864,1916,7.7,Intolerance,D.W. Griffith,Intolerance D.W. Griffith,"frozenset({'Intolerance', 'Griffith', 'D.W.'})"
tt0009968,1919,7.3,Broken Blossoms,D.W. Griffith,Broken Blossoms D.W. Griffith,"frozenset({'Blossoms', 'D.W.', 'Griffith', 'Broken'})"
tt0010323,1920,8.0,The Cabinet of Dr. Caligari,Robert Wiene,The Cabinet of Dr. Caligari Robert Wiene,"frozenset({'of', 'Wiene', 'Robert', 'The', 'Dr.', 'Caligari', 'Cabinet'})"
tt0011237,1920,7.2,The Golem,Carl Boese,The Golem Carl Boese,"frozenset({'Golem', 'The', 'Carl', 'Boese'})"
tt0012494,1921,7.6,Destiny,Fritz Lang,Destiny Fritz Lang,"frozenset({'Lang', 'Fritz', 'Destiny'})"
tt0013086,1922,7.8,"Dr. Mabuse, the Gambler",Fritz Lang,"Dr. Mabuse, the Gambler Fritz Lang","frozenset({'Lang', 'Mabuse,', 'Dr.', 'Fritz', 'the', 'Gambler'})"
tt0013427,1922,7.6,Nanook of the North,Robert J. Flaherty,Nanook of the North Robert J. Flaherty,"frozenset({'Flaherty', 'of', 'Robert', 'North', 'Nanook', 'J.', 'the'})"
tt0013442,1922,7.9,Nosferatu,F.W. Murnau,Nosferatu F.W. Murnau,"frozenset({'Nosferatu', 'Murnau', 'F.W.'})"
tt0014341,1923,7.8,Our Hospitality,John G. Blystone,Our Hospitality John G. Blystone,"frozenset({'Our', 'Hospitality', 'G.', 'Blystone', 'John'})"
tt0014429,1923,8.1,Safety Last!,Fred C. Newmeyer Sam Taylor,Safety Last! Fred C. Newmeyer Sam Taylor,"frozenset({'Sam', 'Newmeyer', 'C.', 'Taylor', 'Fred', 'Last!', 'Safety'})"
tt0015064,1924,8.0,The Last Laugh,F.W. Murnau,The Last Laugh F.W. Murnau,"frozenset({'Laugh', 'Last', 'Murnau', 'F.W.', 'The'})"
tt0015163,1924,7.6,The Navigator,Donald Crisp,The Navigator Donald Crisp,"frozenset({'Crisp', 'The', 'Navigator', 'Donald'})"
tt0015361,1925,7.6,Strike,Sergei Eisenstein,Strike Sergei Eisenstein,"frozenset({'Eisenstein', 'Strike', 'Sergei'})"
tt0015400,1924,7.7,The Thief of Bagdad,Raoul Walsh,The Thief of Bagdad Raoul Walsh,"frozenset({'Raoul', 'Walsh', 'of', 'Thief', 'Bagdad', 'The'})"
tt0015532,1926,7.8,The Adventures of Prince Achmed,Lotte Reiniger Carl Koch,The Adventures of Prince Achmed Lotte Reiniger Carl Koch,"frozenset({'Koch', 'of', 'Reiniger', 'Adventures', 'Lotte', 'Prince', 'The', 'Achmed', 'Carl'})"
tt0015624,1925,7.9,The Big Parade,King Vidor George W. Hill,The Big Parade King Vidor George W. Hill,"frozenset({'Vidor', 'W.', 'Big', 'George', 'Hill', 'The', 'Parade', 'King'})"
tt0015648,1925,8.0,Battleship Potemkin,Sergei Eisenstein,Battleship Potemkin Sergei Eisenstein,"frozenset({'Eisenstein', 'Potemkin', 'Battleship', 'Sergei'})"
tt0015881,1924,8.1,Greed,Erich von Stroheim,Greed Erich von Stroheim,"frozenset({'Stroheim', 'Erich', 'Greed', 'von'})"
tt0016220,1925,7.5,The Phantom of the Opera,Rupert Julian Ernst Laemmle Edward Sedgwick,The Phantom of the Opera Rupert Julian Ernst Laemmle Edward Sedgwick,"frozenset({'Ernst', 'Laemmle', 'of', 'Rupert', 'Sedgwick', 'Edward', 'The', 'Phantom', 'the', 'Opera', 'Julian'})"
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,Fred Niblo Charles Brabin Christy Cabanne J.J. Cohn Rex Ingram,Ben-Hur: A Tale of the Christ Fred Niblo Charles Brabin Christy Cabanne J.J. Cohn Rex Ingram,"frozenset({'J.J.', 'Ingram', 'Brabin', 'Charles', 'of', 'Tale', 'Niblo', 'Cabanne', 'Fred', 'Cohn', 'Rex', 'Ben-Hur:', 'A', 'the', 'Christ', 'Christy'})"
tt0016847,1926,8.1,Faust,F.W. Murnau,Faust F.W. Murnau,"frozenset({'Faust', 'Murnau', 'F.W.'})"
tt0017075,1927,7.3,The Lodger: A Story of the London Fog,Alfred Hitchcock,The Lodger: A Story of the London Fog Alfred Hitchcock,"frozenset({'Hitchcock', 'of', 'Alfred', 'Story', 'London', 'The', 'Fog', 'A', 'the', 'Lodger:'})"
tt0017136,1927,8.3,Metropolis,Fritz Lang,Metropolis Fritz Lang,"frozenset({'Metropolis', 'Lang', 'Fritz'})"
tt0017925,1926,8.2,The General,Clyde Bruckman,The General Clyde Bruckman,"frozenset({'The', 'Clyde', 'Bruckman', 'General'})"
tt0018037,1927,6.4,The Jazz Singer,Alan Crosland,The Jazz Singer Alan Crosland,"frozenset({'Alan', 'Crosland', 'The', 'Jazz', 'Singer'})"
tt0018192,1927,8.2,Napoleon,Abel Gance,Napoleon Abel Gance,"frozenset({'Gance', 'Napoleon', 'Abel'})"
tt0018217,1927,7.4,October (Ten Days that Shook the World),Grigoriy Aleksandrov Sergei Eisenstein,October (Ten Days that Shook the World) Grigoriy Aleksandrov Sergei Eisenstein,"frozenset({'that', '(Ten', 'October', 'World)', 'Shook', 'Days', 'Eisenstein', 'Grigoriy', 'Aleksandrov', 'the', 'Sergei'})"
tt0018455,1927,8.1,Sunrise,F.W. Murnau,Sunrise F.W. Murnau,"frozenset({'Murnau', 'Sunrise', 'F.W.'})"
tt0018528,1927,7.8,The Unknown,Tod Browning,The Unknown Tod Browning,"frozenset({'Browning', 'The', 'Unknown', 'Tod'})"
tt0018578,1927,7.6,Wings,William A. Wellman Harry d'Abbadie d'Arrast,Wings William A. Wellman Harry d'Abbadie d'Arrast,"frozenset({'Wellman', ""d'Arrast"", 'Harry', 'A.', 'William', 'Wings', ""d'Abbadie""})"
tt0018737,1929,7.8,Pandora's Box,Georg Wilhelm Pabst,Pandora's Box Georg Wilhelm Pabst,"frozenset({'Box', 'Wilhelm', 'Pabst', 'Georg', ""Pandora's""})"
tt0018742,1928,8.0,The Cameraman,Edward Sedgwick,The Cameraman Edward Sedgwick,"frozenset({'The', 'Cameraman', 'Sedgwick', 'Edward'})"
tt0018806,1928,8.1,The Crowd,King Vidor,The Crowd King Vidor,"frozenset({'Vidor', 'The', 'Crowd', 'King'})"
tt0019130,1928,7.7,The Man Who Laughs,Paul Leni,The Man Who Laughs Paul Leni,"frozenset({'Man', 'Paul', 'Laughs', 'Leni', 'The', 'Who'})"
tt0019254,1928,8.2,The Passion of Joan of Arc,Carl Theodor Dreyer,The Passion of Joan of Arc Carl Theodor Dreyer,"frozenset({'Joan', 'of', 'Passion', 'Theodor', 'The', 'Dreyer', 'Carl', 'Arc'})"
tt0019421,1928,7.8,"Steamboat Bill, Jr.",Charles Reisner,"Steamboat Bill, Jr. Charles Reisner","frozenset({'Bill,', 'Charles', 'Steamboat', 'Reisner', 'Jr.'})"
tt0019585,1928,8.0,The Wind,Victor Sjöström,The Wind Victor Sjöström,"frozenset({'Victor', 'Sjöström', 'The', 'Wind'})"
tt0019702,1929,6.9,Blackmail,Alfred Hitchcock,Blackmail Alfred Hitchcock,"frozenset({'Alfred', 'Hitchcock', 'Blackmail'})"
tt0019729,1929,5.6,The Broadway Melody,Harry Beaumont,The Broadway Melody Harry Beaumont,"frozenset({'Broadway', 'Harry', 'Melody', 'Beaumont', 'The'})"
tt0019760,1929,8.4,Man with a Movie Camera,Dziga Vertov,Man with a Movie Camera Dziga Vertov,"frozenset({'Man', 'Vertov', 'Dziga', 'with', 'Movie', 'Camera', 'a'})"
tt0019777,1929,6.8,The Cocoanuts,Robert Florey Joseph Santley,The Cocoanuts Robert Florey Joseph Santley,"frozenset({'Santley', 'Cocoanuts', 'Robert', 'Joseph', 'The', 'Florey'})"
tt0020629,1930,8.1,All Quiet on the Western Front,Lewis Milestone,All Quiet on the Western Front Lewis Milestone,"frozenset({'Western', 'on', 'Milestone', 'Quiet', 'All', 'Lewis', 'Front', 'the'})"
tt0020640,1930,7.4,Animal Crackers,Victor Heerman,Animal Crackers Victor Heerman,"frozenset({'Victor', 'Crackers', 'Animal', 'Heerman'})"
tt0020697,1930,7.7,The Blue Angel,Josef von Sternberg,The Blue Angel Josef von Sternberg,"frozenset({'von', 'Josef', 'The', 'Blue', 'Angel', 'Sternberg'})"
tt0021079,1931,7.2,Little Caesar,Mervyn LeRoy,Little Caesar Mervyn LeRoy,"frozenset({'LeRoy', 'Mervyn', 'Caesar', 'Little'})"
tt0021156,1930,7.0,Morocco,Josef von Sternberg,Morocco Josef von Sternberg,"frozenset({'Josef', 'Morocco', 'von', 'Sternberg'})"
tt0021165,1930,6.3,Murder!,Alfred Hitchcock,Murder! Alfred Hitchcock,"frozenset({'Alfred', 'Hitchcock', 'Murder!'})"
tt0021331,1932,7.3,The Blood of a Poet,Jean Cocteau,The Blood of a Poet Jean Cocteau,"frozenset({'Jean', 'of', 'Blood', 'Cocteau', 'The', 'Poet', 'a'})"
tt0021577,1930,7.2,L'Age d'Or,Luis Buñuel,L'Age d'Or Luis Buñuel,"frozenset({""L'Age"", 'Buñuel', ""d'Or"", 'Luis'})"
tt0021746,1931,5.8,Cimarron,Wesley Ruggles,Cimarron Wesley Ruggles,"frozenset({'Ruggles', 'Cimarron', 'Wesley'})"
tt0021814,1931,7.4,Dracula,Tod Browning Karl Freund,Dracula Tod Browning Karl Freund,"frozenset({'Tod', 'Dracula', 'Browning', 'Freund', 'Karl'})"
tt0021884,1931,7.8,Frankenstein,James Whale,Frankenstein James Whale,"frozenset({'Frankenstein', 'James', 'Whale'})"
tt0022100,1931,8.3,M,Fritz Lang,M Fritz Lang,"frozenset({'Lang', 'Fritz', 'M'})"
tt0022158,1931,7.4,Monkey Business,Norman Z. McLeod,Monkey Business Norman Z. McLeod,"frozenset({'Monkey', 'Business', 'Z.', 'Norman', 'McLeod'})"
tt0022286,1931,7.6,The Public Enemy,William A. Wellman,The Public Enemy William A. Wellman,"frozenset({'Wellman', 'Public', 'Enemy', 'A.', 'The', 'William'})"
tt0022835,1931,7.6,Dr. Jekyll and Mr. Hyde,Rouben Mamoulian,Dr. Jekyll and Mr. Hyde Rouben Mamoulian,"frozenset({'and', 'Jekyll', 'Mr.', 'Mamoulian', 'Dr.', 'Rouben', 'Hyde'})"
tt0022879,1932,6.4,A Farewell to Arms,Frank Borzage,A Farewell to Arms Frank Borzage,"frozenset({'to', 'Farewell', 'Frank', 'A', 'Borzage', 'Arms'})"
tt0022913,1932,7.8,Freaks,Tod Browning,Freaks Tod Browning,"frozenset({'Browning', 'Tod', 'Freaks'})"
tt0022958,1932,7.3,Grand Hotel,Edmund Goulding,Grand Hotel Edmund Goulding,"frozenset({'Edmund', 'Grand', 'Goulding', 'Hotel'})"
tt0023027,1932,7.5,Horse Feathers,Norman Z. McLeod,Horse Feathers Norman Z. McLeod,"frozenset({'Feathers', 'Z.', 'Norman', 'Horse', 'McLeod'})"
tt0023238,1932,7.1,The Most Dangerous Game,Irving Pichel Ernest B. Schoedsack,The Most Dangerous Game Irving Pichel Ernest B. Schoedsack,"frozenset({'Dangerous', 'Game', 'Ernest', 'The', 'Irving', 'Schoedsack', 'B.', 'Most', 'Pichel'})"
tt0023245,1932,7.0,The Mummy,Karl Freund,The Mummy Karl Freund,"frozenset({'The', 'Karl', 'Mummy', 'Freund'})"
tt0023293,1932,7.0,The Old Dark House,James Whale,The Old Dark House James Whale,"frozenset({'House', 'Whale', 'Old', 'The', 'James', 'Dark'})"
tt0023427,1932,7.7,Scarface,Howard Hawks Richard Rosson,Scarface Howard Hawks Richard Rosson,"frozenset({'Hawks', 'Richard', 'Howard', 'Rosson', 'Scarface'})"
tt0023551,1932,7.0,Tarzan the Ape Man,W.S. Van Dyke,Tarzan the Ape Man W.S. Van Dyke,"frozenset({'Man', 'Dyke', 'Tarzan', 'W.S.', 'Van', 'the', 'Ape'})"
tt0023563,1933,7.9,The Testament of Dr. Mabuse,Fritz Lang,The Testament of Dr. Mabuse Fritz Lang,"frozenset({'Testament', 'of', 'Mabuse', 'The', 'Dr.', 'Fritz', 'Lang'})"
tt0023622,1932,8.0,Trouble in Paradise,Ernst Lubitsch,Trouble in Paradise Ernst Lubitsch,"frozenset({'Ernst', 'Paradise', 'Trouble', 'Lubitsch', 'in'})"
tt0023649,1932,7.4,Vampyr,Carl Theodor Dreyer,Vampyr Carl Theodor Dreyer,"frozenset({'Vampyr', 'Dreyer', 'Theodor', 'Carl'})"
tt0023694,1932,6.3,White Zombie,Victor Halperin,White Zombie Victor Halperin,"frozenset({'Victor', 'White', 'Zombie', 'Halperin'})"
tt0023775,1933,7.5,Baby Face,Alfred E. Green,Baby Face Alfred E. Green,"frozenset({'Face', 'Alfred', 'Green', 'Baby', 'E.'})"
tt0023940,1933,7.4,Design for Living,Ernst Lubitsch,Design for Living Ernst Lubitsch,"frozenset({'Ernst', 'for', 'Design', 'Lubitsch', 'Living'})"
tt0023948,1933,7.5,Dinner at Eight,George Cukor,Dinner at Eight George Cukor,"frozenset({'Dinner', 'George', 'at', 'Cukor', 'Eight'})"
tt0023969,1933,7.8,Duck Soup,Leo McCarey,Duck Soup Leo McCarey,"frozenset({'Soup', 'Leo', 'Duck', 'McCarey'})"
tt0024034,1933,7.3,42nd Street,Lloyd Bacon,42nd Street Lloyd Bacon,"frozenset({'42nd', 'Street', 'Bacon', 'Lloyd'})"
tt0024069,1933,7.7,Gold Diggers of 1933,Mervyn LeRoy,Gold Diggers of 1933 Mervyn LeRoy,"frozenset({'1933', 'of', 'Mervyn', 'Diggers', 'LeRoy', 'Gold'})"
tt0024184,1933,7.6,The Invisible Man,James Whale,The Invisible Man James Whale,"frozenset({'Man', 'Whale', 'The', 'James', 'Invisible'})"
tt0024216,1933,7.9,King Kong,Merian C. Cooper Ernest B. Schoedsack,King Kong Merian C. Cooper Ernest B. Schoedsack,"frozenset({'Ernest', 'C.', 'Merian', 'Cooper', 'Kong', 'Schoedsack', 'B.', 'King'})"
tt0024264,1933,7.2,Little Women,George Cukor,Little Women George Cukor,"frozenset({'George', 'Women', 'Cukor', 'Little'})"
tt0024481,1933,7.5,Queen Christina,Rouben Mamoulian,Queen Christina Rouben Mamoulian,"frozenset({'Queen', 'Rouben', 'Christina', 'Mamoulian'})"
tt0024548,1933,6.3,She Done Him Wrong,Lowell Sherman,She Done Him Wrong Lowell Sherman,"frozenset({'She', 'Wrong', 'Done', 'Him', 'Lowell', 'Sherman'})"
tt0024601,1933,7.5,Sons of the Desert,William A. Seiter,Sons of the Desert William A. Seiter,"frozenset({'of', 'Sons', 'Seiter', 'A.', 'Desert', 'William', 'the'})"
tt0024844,1934,7.8,L'Atalante,Jean Vigo,L'Atalante Jean Vigo,"frozenset({'Vigo', ""L'Atalante"", 'Jean'})"
tt0024852,1934,7.1,March of the Wooden Soldiers,Gus Meins Charley Rogers,March of the Wooden Soldiers Gus Meins Charley Rogers,"frozenset({'Wooden', 'Gus', 'March', 'Meins', 'of', 'Soldiers', 'Charley', 'Rogers', 'the'})"
tt0024894,1934,6.9,The Black Cat,Edgar G. Ulmer,The Black Cat Edgar G. Ulmer,"frozenset({'Edgar', 'The', 'Cat', 'G.', 'Ulmer', 'Black'})"
tt0025164,1934,7.4,The Gay Divorcee,Mark Sandrich,The Gay Divorcee Mark Sandrich,"frozenset({'Sandrich', 'Mark', 'Divorcee', 'The', 'Gay'})"
tt0025316,1934,8.1,It Happened One Night,Frank Capra,It Happened One Night Frank Capra,"frozenset({'Night', 'Frank', 'One', 'Capra', 'It', 'Happened'})"
tt0025452,1934,6.7,The Man Who Knew Too Much,Alfred Hitchcock,The Man Who Knew Too Much Alfred Hitchcock,"frozenset({'Man', 'Hitchcock', 'Too', 'Alfred', 'Much', 'Knew', 'The', 'Who'})"
tt0025586,1934,7.0,Of Human Bondage,John Cromwell,Of Human Bondage John Cromwell,"frozenset({'Bondage', 'Cromwell', 'Human', 'John', 'Of'})"
tt0025746,1934,7.5,The Scarlet Empress,Josef von Sternberg,The Scarlet Empress Josef von Sternberg,"frozenset({'von', 'Empress', 'Josef', 'The', 'Scarlet', 'Sternberg'})"
tt0025878,1934,7.9,The Thin Man,W.S. Van Dyke,The Thin Man W.S. Van Dyke,"frozenset({'Man', 'Dyke', 'W.S.', 'Van', 'The', 'Thin'})"
tt0025913,1935,7.2,The Triumph of the Will,Leni Riefenstahl,The Triumph of the Will Leni Riefenstahl,"frozenset({'Riefenstahl', 'of', 'Leni', 'Will', 'The', 'Triumph', 'the'})"
tt0025919,1934,7.3,Twentieth Century,Howard Hawks,Twentieth Century Howard Hawks,"frozenset({'Century', 'Hawks', 'Howard', 'Twentieth'})"
tt0026029,1935,7.6,The 39 Steps,Alfred Hitchcock,The 39 Steps Alfred Hitchcock,"frozenset({'Hitchcock', 'Steps', 'Alfred', 'The', '39'})"
tt0026138,1935,7.8,The Bride of Frankenstein,James Whale,The Bride of Frankenstein James Whale,"frozenset({'Frankenstein', 'of', 'Whale', 'James', 'The', 'Bride'})"
tt0026174,1935,7.7,Captain Blood,Michael Curtiz,Captain Blood Michael Curtiz,"frozenset({'Curtiz', 'Blood', 'Michael', 'Captain'})"
tt0026529,1935,7.4,The Informer,John Ford,The Informer John Ford,"frozenset({'The', 'Informer', 'John', 'Ford'})"
