level_0,index,tconst,startYear_x,runtimeMinutes_x,genres_x,averageRating,numVotes,primaryTitle,genres,startYear_st,runtimeMinutes_st,averageRating_st,numVotes_st,genre_clean,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,fi,history,horror,music,musical,mystery,news,reality,romance,sci,sport,thriller,tv,war,western
0,217,tt0004972,1915,195,"Drama,History,War",6.2,24939.0,The Birth of a Nation,Drama,0.0,0.28790786948176583,0.5977011494252875,0.00713808104801413,"Drama , History , War",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,428,tt0006864,1916,163,"Drama,History",7.7,15704.0,Intolerance,Drama,0.009345794392523032,0.22648752399232241,0.7701149425287358,0.003657239434411295,"Drama , History",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,849,tt0009968,1919,90,"Drama,Romance",7.3,10450.0,Broken Blossoms,Drama,0.03738317757009213,0.08637236084452975,0.7241379310344829,0.0016769100529419614,"Drama , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,922,tt0010323,1920,76,"Horror,Mystery,Thriller",8.0,64491.0,The Cabinet of Dr. Caligari,Horror,0.04672897196261516,0.05950095969289827,0.8045977011494254,0.022045958416852175,"Horror , Mystery , Thriller",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4,1087,tt0011237,1920,76,"Fantasy,Horror",7.2,7846.0,The Golem,Fantasy,0.04672897196261516,0.05950095969289827,0.7126436781609197,0.0006954144858795051,"Fantasy , Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,1311,tt0012349,1921,68,"Comedy,Drama,Family",8.3,126742.0,The Kid,Comedy,0.056074766355138195,0.04414587332053742,0.8390804597701151,0.04550950701332105,"Comedy , Drama , Family",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1315,tt0012364,1921,107,"Drama,Fantasy,Horror",8.0,12729.0,The Phantom Carriage,Drama,0.056074766355138195,0.11900191938579653,0.8045977011494254,0.002535907133331876,"Drama , Fantasy , Horror",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,1345,tt0012494,1921,97,"Drama,Fantasy,Horror",7.6,6172.0,Destiny,Drama,0.056074766355138195,0.0998080614203455,0.7586206896551725,6.445304991078375e-05,"Drama , Fantasy , Horror",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1459,tt0013086,1922,242,"Crime,Mystery,Thriller",7.8,8537.0,"Dr. Mabuse, the Gambler",Crime,0.06542056074766123,0.37811900191938574,0.781609195402299,0.0009558651144663554,"Crime , Mystery , Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9,1494,tt0013257,1922,91,"Documentary,Fantasy,Horror",7.6,14816.0,Häxan,Documentary,0.06542056074766123,0.08829174664107485,0.7586206896551725,0.003322535876979858,"Documentary , Fantasy , Horror",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,1531,tt0013427,1922,78,Documentary,7.6,12470.0,Nanook of the North,Documentary,0.06542056074766123,0.06333973128598848,0.7586206896551725,0.0024382852624143738,Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1536,tt0013442,1922,94,"Fantasy,Horror",7.9,98195.0,Nosferatu,Fantasy,0.06542056074766123,0.09404990403071016,0.7931034482758622,0.034749616862425524,"Fantasy , Horror",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1731,tt0014341,1923,65,"Comedy,Romance,Thriller",7.8,11457.0,Our Hospitality,Comedy,0.07476635514018426,0.03838771593090211,0.781609195402299,0.002056466902416575,"Comedy , Romance , Thriller",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
13,1750,tt0014429,1923,74,"Action,Comedy,Thriller",8.1,20927.0,Safety Last!,Action,0.07476635514018426,0.055662188099808066,0.8160919540229886,0.00562588434484417,"Action , Comedy , Thriller",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,1898,tt0015064,1924,77,Drama,8.0,14191.0,The Last Laugh,Drama,0.08411214953270729,0.061420345489443376,0.8045977011494254,0.003086961864148048,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1919,tt0015163,1924,59,"Action,Comedy,Romance",7.6,10123.0,The Navigator,Action,0.08411214953270729,0.026871401151631474,0.7586206896551725,0.001553657729428358,"Action , Comedy , Romance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,1962,tt0015324,1924,45,"Action,Comedy,Romance",8.2,50358.0,Sherlock Jr.,Action,0.08411214953270729,0.0,0.8275862068965518,0.016718970379489006,"Action , Comedy , Romance",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,1970,tt0015361,1925,82,Drama,7.6,8092.0,Strike,Drama,0.09345794392523388,0.07101727447216889,0.7586206896551725,0.0007881364173301058,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1976,tt0015400,1924,155,"Adventure,Family,Fantasy",7.7,6318.0,The Thief of Bagdad,Adventure,0.08411214953270729,0.2111324376199616,0.7701149425287358,0.00011948313930829459,"Adventure , Family , Fantasy",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2011,tt0015532,1926,80,"Adventure,Animation,Family",7.8,6312.0,The Adventures of Prince Achmed,Adventure,0.10280373831775691,0.06717850287907869,0.781609195402299,0.0001172216287851093,"Adventure , Animation , Family",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2031,tt0015624,1925,151,"Drama,Romance,War",7.9,6849.0,The Big Parade,Drama,0.09345794392523388,0.20345489443378117,0.7931034482758622,0.0003196268206102008,"Drama , Romance , War",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21,2040,tt0015648,1925,75,"Drama,History,Thriller",7.9,58109.0,Battleship Potemkin,Drama,0.09345794392523388,0.05758157389635317,0.7931034482758622,0.01964046505702399,"Drama , History , Thriller",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
22,2100,tt0015864,1925,95,"Adventure,Comedy,Drama",8.2,111725.0,The Gold Rush,Adventure,0.09345794392523388,0.09596928982725526,0.8275862068965518,0.039849323092208566,"Adventure , Comedy , Drama",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2106,tt0015881,1924,140,"Drama,Thriller,Western",8.1,10095.0,Greed,Drama,0.08411214953270729,0.18234165067178498,0.8160919540229886,0.0015431040136534928,"Drama , Thriller , Western",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
24,2191,tt0016220,1925,93,Horror,7.5,18703.0,The Phantom of the Opera,Horror,0.09345794392523388,0.09213051823416506,0.7471264367816093,0.004787617777583455,Horror,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,2223,tt0016332,1925,56,"Comedy,Romance",7.8,10505.0,Seven Chances,Comedy,0.09345794392523388,0.021113243761996164,0.781609195402299,0.0016976405660711611,"Comedy , Romance",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2311,tt0016641,1925,143,"Adventure,Drama,Romance",7.8,7683.0,Ben-Hur: A Tale of the Christ,Adventure,0.09345794392523388,0.18809980806142035,0.781609195402299,0.0006339767833329689,"Adventure , Drama , Romance",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2383,tt0016847,1926,107,"Drama,Fantasy,Horror",8.1,15465.0,Faust,Drama,0.10280373831775691,0.11900191938579653,0.8160919540229886,0.0035671559319044106,"Drama , Fantasy , Horror",0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
