rotten_tomatoes_link,Movie Title,Rotten Tomatoes rating,Studio,original_release_date,Year
m/toy_story,Toy Story,100.0,Buena Vista,1995-11-22,1995
m/mary_poppins,Mary Poppins,100.0,Disney,1964-08-26,1964
m/paddington_2,Paddington 2,100.0,Warner Bros.,2018-01-12,2018
m/toy_story_2,Toy Story 2,100.0,Buena Vista,1999-11-24,1999
m/finding_nemo,Finding Nemo,99.0,Disney,2003-05-30,2003
m/how_to_train_your_dragon,How to Train Your Dragon,99.0,Paramount,2010-03-26,2010
m/dumbo,Dumbo,98.0,Disney,1941-10-23,1941
m/inside_out_2015,Inside Out,98.0,Disney,2015-06-19,2015
m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,98.0,Disney,1937-12-21,1937
m/101_dalmatians,101 Dalmatians,98.0,Buena Vista,1961-01-25,1961
m/the_wizard_of_oz_1939,The Wizard of Oz,98.0,Warner Bros.,1939-08-25,1939
m/up,Up,98.0,Disney,2009-05-29,2009
m/et_the_extraterrestrial,E.T. The Extra-Terrestrial,98.0,Universal,1982-06-11,1982
m/toy_story_3,Toy Story 3,98.0,Disney,2010-06-18,2010
m/spider_man_into_the_spider_verse,Spider-Man: Into the Spider-Verse,97.0,Sony,2018-12-14,2018
m/toy_story_4,Toy Story 4,97.0,Disney,2019-06-21,2019
m/big,Big,97.0,20th Century Fox,1988-01-01,1988
m/spirited_away,Spirited Away,97.0,Disney,2002-09-20,2002
m/princess_bride,The Princess Bride,97.0,20th Century Fox,1987-09-25,1987
m/coco_2017,Coco,97.0,Disney,2017-11-22,2017
m/incredibles,The Incredibles,97.0,Buena Vista,2004-11-05,2004
m/who_framed_roger_rabbit,Who Framed Roger Rabbit,97.0,Buena Vista,1988-06-22,1988
m/1065598-babe,Babe,97.0,Universal,1995-08-04,1995
m/chicken_run,Chicken Run,97.0,Dreamworks,2000-06-21,2000
m/ratatouille,Ratatouille,96.0,Disney,2007-06-29,2007
m/the_lego_movie,The LEGO Movie,96.0,Warner Bros.,2014-02-07,2014
m/miracle_on_34th_street,Miracle on 34th Street,96.0,20th Century Fox,1947-01-01,1947
m/iron_giant,The Iron Giant,96.0,Warner Bros.,1999-07-01,1999
m/monsters_inc,"Monsters, Inc.",96.0,Disney,2001-11-02,2001
m/harry_potter_and_the_deathly_hallows_part_2_2011,Harry Potter and the Deathly Hallows - Part 2,96.0,Warner Bros.,2011-07-15,2011
m/straight_story,The Straight Story,95.0,Buena Vista,1999-10-15,1999
m/the_breadwinner,The Breadwinner,95.0,nan,2017-11-17,2017
m/the_muppets,The Muppets,95.0,Disney,2011-11-23,2011
m/wallace_and_gromit_curse_of_the_wererabbit,Wallace & Gromit: The Curse of the Were-Rabbit,95.0,Dreamworks,2005-10-07,2005
m/disneys_aladdin,Aladdin,95.0,Disney,1992-11-11,1992
m/moana_2016,Moana,95.0,Disney,2016-11-23,2016
m/beauty_and_the_beast_1991,Beauty and the Beast,94.0,Buena Vista,1991-11-22,1991
m/the_jungle_book_2016,The Jungle Book,94.0,Disney,2016-04-15,2016
m/incredibles_2,Incredibles 2,93.0,Disney,2018-06-15,2018
m/enchanted,Enchanted,93.0,Disney,2007-11-21,2007
m/the_lion_king,The Lion King,93.0,Buena Vista,1994-06-15,1994
m/that_thing_you_do,That Thing You Do!,93.0,20th Century Fox,1996-10-04,1996
m/lady_and_the_tramp,Lady and the Tramp,93.0,Buena Vista,1955-06-22,1955
m/hugo,Hugo,93.0,Paramount,2011-11-23,2011
m/1197696-fantastic_mr_fox,Fantastic Mr. Fox,93.0,20th Century Fox,2009-11-25,2009
m/the_little_mermaid_1989,The Little Mermaid,93.0,Disney,1989-01-01,1989
m/duma,Duma,93.0,Warner Bros.,2005-09-30,2005
m/the_witches,The Witches,93.0,Warner Bros.,1990-02-16,1990
m/antz,Antz,92.0,Dreamworks,1998-10-02,1998
m/bugs_life,A Bug's Life,92.0,Buena Vista,1998-11-20,1998
m/arthur_christmas,Arthur Christmas,92.0,Sony,2011-11-23,2011
m/1041870-matinee,Matinee,92.0,Universal,1992-06-01,1992
m/ponyo,Ponyo,92.0,Disney,2009-08-14,2009
m/winnie_the_pooh_2011,Winnie the Pooh,91.0,Disney,2011-07-15,2011
m/how_to_train_your_dragon_2,How to Train Your Dragon 2,91.0,20th Century Fox,2014-06-13,2014
m/james_and_the_giant_peach,James and the Giant Peach,91.0,Buena Vista,1996-04-12,1996
m/teen_titans_go_to_the_movies,Teen Titans Go! To the Movies,91.0,Warner Bros.,2018-07-27,2018
m/willy_wonka_and_the_chocolate_factory,Willy Wonka and the Chocolate Factory,90.0,Paramount,1971-06-30,1971
m/disneynature_bears,Disneynature Bears,90.0,Disney,2014-04-18,2014
m/harry_potter_and_the_prisoner_of_azkaban,Harry Potter and the Prisoner of Azkaban,90.0,Warner Bros.,2004-06-04,2004
m/how_to_train_your_dragon_the_hidden_world,How to Train Your Dragon: The Hidden World,90.0,Universal,2019-02-22,2019
m/frozen_2013,Frozen,90.0,Disney,2013-11-27,2013
m/the_lego_batman_movie,The Lego Batman Movie,90.0,Warner Bros.,2017-02-10,2017
m/how_green_was_my_valley,How Green Was My Valley,89.0,20th Century Fox,1941-01-01,1941
m/the_kid_who_would_be_king,The Kid Who Would Be King,89.0,20th Century Fox,2019-01-25,2019
m/1019187-sleeping_beauty,Sleeping Beauty,89.0,Buena Vista,1959-01-29,1959
m/karate_kid,The Karate Kid,89.0,Columbia Pictures,1984-06-22,1984
m/1010939-jason_and_the_argonauts,Jason and the Argonauts,89.0,Columbia Pictures,1963-06-19,1963
m/tangled,Tangled,89.0,Disney,2010-11-24,2010
m/shrek_2,Shrek 2,89.0,Dreamworks,2004-05-19,2004
m/1004151-christmas_story,A Christmas Story,89.0,MGM,1983-11-18,1983
m/big_hero_6,Big Hero 6,89.0,Disney,2014-11-07,2014
m/ralph_breaks_the_internet,Ralph Breaks the Internet,88.0,Disney,2018-11-21,2018
m/millions,Millions,88.0,20th Century Fox,2005-03-11,2005
m/1045518-secret_garden,The Secret Garden,88.0,Warner Bros.,1993-03-18,1993
m/petes_dragon_2016,Pete's Dragon,88.0,Disney,2016-08-12,2016
m/rango,Rango,88.0,Paramount,2011-03-04,2011
m/onward,Onward,88.0,Disney,2020-03-06,2020
m/freaky_friday,Freaky Friday,88.0,Buena Vista,2003-08-06,2003
m/shrek,Shrek,88.0,Dreamworks,2001-05-18,2001
m/harry_potter_and_the_goblet_of_fire,Harry Potter and the Goblet of Fire,88.0,Warner Bros.,2005-11-18,2005
m/1031385-jungle_book,The Jungle Book,88.0,Buena Vista,1967-10-18,1967
m/howls_moving_castle,Howl's Moving Castle,87.0,Buena Vista,2005-06-17,2005
m/kung_fu_panda,Kung Fu Panda,87.0,Paramount,2008-06-06,2008
m/the_peanuts_movie,The Peanuts Movie,87.0,20th Century Fox,2015-11-06,2015
m/peewees_big_adventure,Pee-wee's Big Adventure,87.0,Warner Bros.,1985-07-26,1985
m/wreck_it_ralph,Wreck-it Ralph,87.0,Disney,2012-11-02,2012
m/field_of_dreams,Field of Dreams,87.0,Universal,1989-04-21,1989
m/1079818-anastasia,Anastasia,86.0,20th Century Fox,1997-11-14,1997
m/1083414-parent_trap,The Parent Trap,86.0,Disney,1998-07-29,1998
m/1196077-cloudy_with_a_chance_of_meatballs,Cloudy With a Chance of Meatballs,86.0,Sony,2009-09-18,2009
m/mulan,Mulan,86.0,Buena Vista,1998-06-19,1998
m/1209933-puss_in_boots,Puss in Boots,86.0,Paramount,2011-10-28,2011
m/1196003-princess_and_the_frog,The Princess and the Frog,85.0,Disney,2009-12-11,2009
m/dora_and_the_lost_city_of_gold,Dora and the Lost City of Gold,85.0,Paramount,2019-08-09,2019
m/emperors_new_groove,The Emperor's New Groove,85.0,Buena Vista,2000-12-15,2000
m/bridge_to_terabithia,Bridge to Terabithia,85.0,Buena Vista,2007-02-16,2007
m/corpse_bride,Tim Burton's Corpse Bride,84.0,Warner Bros.,2005-09-16,2005
m/cinderella_2013,Cinderella,84.0,Disney,2015-03-13,2015
m/mad_hot_ballroom,Mad Hot Ballroom,84.0,Paramount,2005-05-20,2005
m/hercules,Hercules,84.0,Buena Vista,1997-06-15,1997
m/harry_potter_and_the_half_blood_prince,Harry Potter and the Half-Blood Prince,84.0,Warner Bros.,2009-07-15,2009
m/charlie_and_the_chocolate_factory,Charlie and the Chocolate Factory,83.0,Warner Bros.,2005-07-15,2005
m/sound_of_music,The Sound of Music,83.0,20th Century Fox,1965-03-02,1965
m/fiddler_on_the_roof,Fiddler on the Roof,83.0,United Artists,1971-11-03,1971
m/harry_potter_and_the_chamber_of_secrets,Harry Potter and the Chamber of Secrets,82.0,Warner Bros.,2002-11-15,2002
m/mr_peabody_and_sherman,Mr. Peabody & Sherman,81.0,20th Century Fox,2014-03-07,2014
m/island_of_lemurs_madagascar,Island Of Lemurs: Madagascar,81.0,Warner Bros.,2014-04-04,2014
m/fantasia_2000,Fantasia 2000,81.0,Buena Vista,2000-06-16,2000
m/harry_potter_and_the_sorcerers_stone,Harry Potter and the Sorcerer's Stone,81.0,Warner Bros.,2001-11-16,2001
m/1214097-despicable_me,Despicable Me,81.0,Universal,2010-07-09,2010
m/1016213-peter_pan,Peter Pan,81.0,Disney,1953-02-05,1953
m/dolphin_tale,Dolphin Tale,81.0,Warner Bros.,2011-09-23,2011
