,tconst,startYear,runtimeMinutes,genres,averageRating,numVotes
441258,tt0111161,1994,142,Drama,9.3,2654800.0
1229784,tt0468569,2008,152,"Action,Crime,Drama",9.0,2627314.0
1786817,tt1375666,2010,148,"Action,Adventure,Sci-Fi",8.8,2328373.0
519249,tt0137523,1999,139,Drama,8.8,2099979.0
436052,tt0109830,1994,142,"Drama,Romance",8.8,2056593.0
440199,tt0110912,1994,154,"Crime,Drama",8.9,2032060.0
507217,tt0133093,1999,136,"Action,Sci-Fi",8.7,1897784.0
473478,tt0120737,2001,178,"Action,Adventure,Drama",8.8,1858330.0
273685,tt0068646,1972,175,"Crime,Drama",9.2,1840150.0
588071,tt0167260,2003,201,"Action,Adventure,Drama",9.0,1830215.0
1300967,tt0816692,2014,169,"Adventure,Drama,Sci-Fi",8.6,1799564.0
1754459,tt1345836,2012,164,"Action,Drama",8.4,1691719.0
588076,tt0167261,2002,179,"Action,Adventure,Drama",8.8,1652617.0
451761,tt0114369,1995,127,"Crime,Drama,Mystery",8.6,1635303.0
2168968,tt1853728,2012,165,"Drama,Western",8.4,1537407.0
599541,tt0172495,2000,155,"Action,Adventure,Drama",8.5,1488045.0
1074477,tt0372784,2005,140,"Action,Crime,Drama",8.2,1459804.0
1053126,tt0361748,2009,153,"Adventure,Drama,War",8.3,1434016.0
411771,tt0102926,1991,118,"Crime,Drama,Thriller",8.6,1419868.0
1363091,tt0993846,2013,180,"Biography,Comedy,Crime",8.2,1390389.0
1315439,tt0848228,2012,143,"Action,Adventure,Sci-Fi",8.0,1382845.0
473788,tt0120815,1998,169,"Drama,War",8.6,1379826.0
307043,tt0076759,1977,121,"Action,Adventure,Fantasy",8.6,1355191.0
430352,tt0108052,1993,195,"Biography,Drama,History",9.0,1345018.0
1249369,tt0482571,2006,130,"Drama,Mystery,Sci-Fi",8.5,1322815.0
1136732,tt0407887,2006,151,"Crime,Drama,Thriller",8.5,1315173.0
1518669,tt1130884,2010,138,"Mystery,Thriller",8.2,1298780.0
473310,tt0120689,1999,189,"Crime,Drama,Fantasy",8.6,1289807.0
323229,tt0080684,1980,124,"Action,Adventure,Fantasy",8.7,1282570.0
285571,tt0071562,1974,202,"Crime,Drama",9.0,1260770.0
3117193,tt7286456,2019,122,"Crime,Drama,Thriller",8.4,1257209.0
1272371,tt0499549,2009,162,"Action,Adventure,Fantasy",7.8,1240299.0
707559,tt0209144,2000,113,"Mystery,Thriller",8.4,1230341.0
356190,tt0088763,1985,116,"Adventure,Comedy,Sci-Fi",8.5,1193227.0
2239858,tt2015381,2014,121,"Action,Adventure,Comedy",8.0,1169381.0
471988,tt0120338,1997,194,"Drama,Romance",7.9,1163750.0
438321,tt0110413,1994,110,"Action,Crime,Drama",8.5,1152250.0
399107,tt0099685,1990,145,"Biography,Crime,Drama",8.7,1150257.0
592572,tt0169547,1999,122,Drama,8.4,1149390.0
975047,tt0325980,2003,143,"Action,Adventure,Fantasy",8.1,1120578.0
1178754,tt0434409,2005,132,"Action,Drama,Sci-Fi",8.2,1116472.0
472930,tt0120586,1998,119,"Crime,Drama",8.5,1116084.0
2713310,tt4154796,2019,181,"Action,Adventure,Drama",8.4,1111865.0
1335122,tt0910970,2008,98,"Adventure,Animation,Family",8.4,1108260.0
842884,tt0266697,2003,111,"Action,Crime,Drama",8.2,1107838.0
412326,tt0103064,1991,137,"Action,Sci-Fi",8.6,1091394.0
453266,tt0114814,1995,106,"Crime,Drama,Mystery",8.5,1079074.0
472183,tt0120382,1998,103,"Comedy,Drama",8.2,1069916.0
2713304,tt4154756,2018,149,"Action,Adventure,Sci-Fi",8.4,1065380.0
1072415,tt0371746,2008,126,"Action,Adventure,Sci-Fi",7.9,1051934.0
438082,tt0110357,1994,88,"Adventure,Animation,Drama",8.5,1049811.0
346454,tt0086190,1983,131,"Action,Adventure,Fantasy",8.3,1047055.0
842591,tt0266543,2003,100,"Adventure,Animation,Comedy",8.2,1037761.0
1424519,tt1049413,2009,96,"Adventure,Animation,Comedy",8.3,1037039.0
445065,tt0112573,1995,178,"Biography,Drama,History",8.4,1033080.0
1850543,tt1431045,2016,108,"Action,Adventure,Comedy",8.0,1028415.0
327008,tt0081505,1980,146,"Drama,Horror",8.4,1012720.0
420302,tt0105236,1992,99,"Crime,Thriller",8.3,1011134.0
293484,tt0073486,1975,133,Drama,8.7,1001967.0
999340,tt0338013,2004,108,"Drama,Romance,Sci-Fi",8.3,1001122.0
1805319,tt1392190,2015,120,"Action,Adventure,Sci-Fi",8.1,994662.0
452911,tt0114709,1995,81,"Adventure,Animation,Comedy",8.3,987195.0
588449,tt0167404,1999,107,"Drama,Mystery,Thriller",8.2,987147.0
427379,tt0107290,1993,127,"Action,Adventure,Sci-Fi",8.2,982205.0
2387561,tt2267998,2014,149,"Drama,Mystery,Thriller",8.1,975432.0
837624,tt0264464,2002,141,"Biography,Crime,Drama",8.1,971592.0
1242396,tt0477348,2007,122,"Crime,Drama,Thriller",8.2,965139.0
333207,tt0082971,1981,115,"Action,Adventure",8.4,960458.0
467677,tt0119217,1997,126,"Drama,Romance",8.3,959953.0
847944,tt0268978,2001,135,"Biography,Drama",8.2,928230.0
2453383,tt2488496,2015,138,"Action,Adventure,Sci-Fi",7.8,926561.0
1805284,tt1392170,2012,142,"Action,Adventure,Sci-Fi",7.2,914181.0
678590,tt0198781,2001,92,"Adventure,Animation,Comedy",8.1,903540.0
314827,tt0078748,1979,117,"Horror,Sci-Fi",8.5,876005.0
381237,tt0095016,1988,132,"Action,Thriller",8.2,871653.0
1599230,tt1201607,2011,130,"Adventure,Family,Fantasy",8.1,868885.0
354767,tt0088247,1984,107,"Action,Sci-Fi",8.1,860499.0
2435213,tt2395427,2015,141,"Action,Adventure,Sci-Fi",7.3,857542.0
705241,tt0208092,2000,104,"Comedy,Crime",8.2,851978.0
2073972,tt1675434,2011,112,"Biography,Comedy,Drama",8.5,851140.0
2640146,tt3659388,2015,144,"Adventure,Drama,Sci-Fi",8.0,847922.0
2469892,tt2582802,2014,106,"Drama,Music",8.5,847167.0
1293397,tt0800369,2011,115,"Action,Adventure,Fantasy",7.0,845507.0
1700538,tt1300854,2013,130,"Action,Adventure,Sci-Fi",7.1,845441.0
1376122,tt1010048,2008,120,"Crime,Drama,Romance",8.0,843242.0
1216567,tt0458339,2011,124,"Action,Adventure,Sci-Fi",6.9,840594.0
2163896,tt1843866,2014,136,"Action,Adventure,Sci-Fi",7.8,840199.0
619438,tt0180093,2000,102,Drama,8.3,837404.0
346732,tt0086250,1983,170,"Crime,Drama",8.3,834454.0
1180483,tt0435761,2010,103,"Adventure,Animation,Comedy",8.3,831699.0
266507,tt0066921,1971,136,"Crime,Sci-Fi",8.3,825662.0
805720,tt0253474,2002,150,"Biography,Drama,Music",8.5,825225.0
1332275,tt0903624,2012,169,"Adventure,Fantasy",7.8,824908.0
301077,tt0075314,1976,114,"Crime,Drama",8.2,824450.0
1878299,tt1454468,2013,91,"Drama,Sci-Fi,Thriller",7.7,823301.0
1148431,tt0416449,2006,117,"Action,Drama",7.6,817826.0
539191,tt0145487,2002,121,"Action,Adventure,Sci-Fi",7.4,813082.0
1628421,tt1228705,2010,124,"Action,Adventure,Sci-Fi",6.9,813011.0
465703,tt0118715,1998,117,"Comedy,Crime",8.1,804779.0
2392761,tt2278388,2014,99,"Adventure,Comedy,Crime",8.1,802299.0
474127,tt0120915,1999,136,"Action,Adventure,Fantasy",6.5,802023.0
