,tconst,tomatometer_rating
0,tt0343172,68.0
1,tt0031322,83.0
2,tt2316868,45.0
3,tt1166100,50.0
4,tt0449951,50.0
5,tt9178402,51.0
6,tt4201522,
7,tt3138122,26.0
8,tt1822253,63.0
9,tt0480001,50.0
10,tt4083572,0.0
11,tt0102045,13.0
12,tt0114697,0.0
13,tt0099399,11.0
14,tt1541666,92.0
15,tt4209788,81.0
16,tt2232578,75.0
17,tt0770814,33.0
18,tt3228088,14.0
19,tt0209463,97.0
20,tt1843287,83.0
21,tt0105267,83.0
22,tt0995061,81.0
23,tt3016266,75.0
24,tt3409392,98.0
25,tt0301893,0.0
26,tt7390588,80.0
27,tt0057093,80.0
28,tt1107319,33.0
29,tt0112288,75.0
30,tt0106660,31.0
31,tt1707391,45.0
32,tt0097028,40.0
33,tt0099939,73.0
34,tt1134665,71.0
35,tt0106452,69.0
36,tt0103759,77.0
37,tt0217978,65.0
38,tt0087247,60.0
39,tt9482230,78.0
40,tt1620719,60.0
41,tt1934231,88.0
42,tt6624144,92.0
43,tt2929652,84.0
44,tt0138537,71.0
45,tt3703908,56.0
46,tt0497470,0.0
47,tt6333062,58.0
48,tt0337585,32.0
49,tt1604070,86.0
50,tt0178642,22.0
51,tt0832266,70.0
52,tt5985672,80.0
53,tt7281538,100.0
54,tt8745960,82.0
55,tt0978762,95.0
56,tt1268809,33.0
57,tt1323045,63.0
58,tt1270835,42.0
59,tt0422401,55.0
60,tt5534434,67.0
61,tt1121786,34.0
62,tt5067958,78.0
63,tt6570372,43.0
64,tt4991512,95.0
65,tt1929276,100.0
66,tt2944198,92.0
67,tt5119116,82.0
68,tt4574654,20.0
69,tt4441422,100.0
70,tt1229340,74.0
71,tt0838283,55.0
72,tt6266538,65.0
73,tt1386588,78.0
74,tt1596363,88.0
75,tt0415306,71.0
76,tt4572820,100.0
77,tt0120523,0.0
78,tt1316432,82.0
79,tt0380817,42.0
80,tt1258201,73.0
81,tt0109361,46.0
82,tt0810951,60.0
83,tt5836316,59.0
84,tt0250617,41.0
85,tt0165710,48.0
86,tt5886046,51.0
87,tt5726086,33.0
88,tt1483324,61.0
89,tt1241316,57.0
90,tt3640682,50.0
91,tt4009278,48.0
92,tt0395699,21.0
93,tt0960731,27.0
94,tt0305669,34.0
95,tt0281358,27.0
96,tt7634968,42.0
97,tt0209475,17.0
98,tt0452598,6.0
99,tt1336608,43.0
100,tt0427327,91.0
101,tt1663631,25.0
102,tt6019394,17.0
103,tt0099173,17.0
104,tt3305308,57.0
105,tt0475328,17.0
106,tt2570414,40.0
107,tt1241317,38.0
108,tt1853739,78.0
109,tt1617620,60.0
110,tt1540011,37.0
111,tt2980592,91.0
112,tt1204298,74.0
113,tt6141886,67.0
114,tt1135992,88.0
115,tt6834916,86.0
116,tt1232206,100.0
117,tt1567609,82.0
118,tt1206885,26.0
119,tt0119558,68.0
120,tt0099871,73.0
121,tt0085549,36.0
122,tt0107211,35.0
123,tt0093010,76.0
124,tt0250797,50.0
125,tt0462477,79.0
126,tt1590950,40.0
127,tt1397502,80.0
128,tt3254796,38.0
129,tt0210741,43.0
130,tt0473308,89.0
131,tt1291570,25.0
132,tt1417075,88.0
133,tt0120481,81.0
134,tt0114702,25.0
135,tt0108071,88.0
136,tt0838247,25.0
137,tt6573444,91.0
138,tt8584722,90.0
139,tt3721954,89.0
140,tt6793280,76.0
141,tt1562899,18.0
142,tt6613878,50.0
143,tt0311519,98.0
144,tt1508675,99.0
145,tt0071411,73.0
146,tt0055630,95.0
147,tt0044741,98.0
148,tt0089881,97.0
149,tt0050613,95.0
150,tt0080979,88.0
151,tt1837709,13.0
152,tt1298649,17.0
153,tt0787475,39.0
154,tt6642788,67.0
155,tt0363504,12.0
156,tt0097372,94.0
157,tt0160644,19.0
158,tt1459012,64.0
159,tt1239449,60.0
160,tt2852458,94.0
161,tt2751390,76.0
162,tt0091507,80.0
163,tt0052893,97.0
164,tt0787523,49.0
165,tt0492502,80.0
166,tt1500512,50.0
167,tt2186781,58.0
168,tt0118301,15.0
169,tt0018037,75.0
170,tt1160424,33.0
171,tt0070634,20.0
172,tt0068505,22.0
173,tt2734552,50.0
174,tt1959550,44.0
175,tt1193630,19.0
176,tt0317950,0.0
177,tt0067309,93.0
178,tt0074119,94.0
179,tt0104006,25.0
180,tt0083006,78.0
181,tt0107798,53.0
182,tt0118972,35.0
183,tt0098283,55.0
184,tt0100404,87.0
185,tt0084707,78.0
186,tt0079948,100.0
187,tt0077360,70.0
188,tt0071970,90.0
189,tt0270197,40.0
190,tt0091981,0.0
191,tt0090685,86.0
192,tt0089208,38.0
193,tt0070731,60.0
194,tt0099291,64.0
195,tt0101605,89.0
196,tt0095647,84.0
197,tt0116250,63.0
198,tt0289992,19.0
199,tt0111001,41.0
200,tt0074256,83.0
201,tt0084675,85.0
202,tt0086969,85.0
203,tt0145653,51.0
204,tt0080716,84.0
205,tt0077928,96.0
206,tt0092563,79.0
207,tt1212436,18.0
208,tt0059221,67.0
209,tt0120521,65.0
210,tt0093467,50.0
211,tt0104201,33.0
212,tt0118566,76.0
213,tt0102469,57.0
214,tt0106627,25.0
215,tt0116322,32.0
216,tt0107107,9.0
217,tt0365407,25.0
218,tt0282768,73.0
219,tt1340138,27.0
220,tt1981115,66.0
221,tt0469045,12.0
222,tt3202890,0.0
223,tt8902948,81.0
224,tt2378587,67.0
225,tt0051755,64.0
226,tt0093091,0.0
227,tt4244998,80.0
228,tt0037988,93.0
229,tt0043899,66.0
230,tt0087957,70.0
231,tt0090631,0.0
232,tt4157220,98.0
233,tt0399704,67.0
234,tt0016654,100.0
235,tt0107668,60.0
236,tt0103923,7.0
237,tt0102202,20.0
238,tt5919756,73.0
239,tt0035429,93.0
240,tt0056210,96.0
241,tt2638662,50.0
242,tt3397918,43.0
243,tt7365040,100.0
244,tt3891834,83.0
245,tt0410297,35.0
246,tt0230600,83.0
247,tt1186830,53.0
248,tt3319920,15.0
249,tt0117883,83.0
250,tt1838571,82.0
251,tt1043787,0.0
252,tt0756703,11.0
253,tt0098253,86.0
254,tt1810683,24.0
255,tt0102370,87.0
256,tt0452643,20.0
257,tt2679042,9.0
258,tt1034427,88.0
259,tt3451720,87.0
260,tt5829040,32.0
261,tt10662450,0.0
262,tt1723124,25.0
263,tt0118174,17.0
264,tt0087995,98.0
265,tt0470752,92.0
266,tt2798920,88.0
267,tt2044040,90.0
268,tt1016268,97.0
269,tt5446858,92.0
270,tt3626440,100.0
271,tt1638364,82.0
272,tt8879946,98.0
273,tt1129423,38.0
274,tt3832914,34.0
275,tt2345759,16.0
276,tt1716777,53.0
277,tt0899238,78.0
278,tt0972544,55.0
279,tt1698027,33.0
280,tt0343818,56.0
281,tt0118929,76.0
282,tt0109506,83.0
283,tt0448011,33.0
284,tt0280696,43.0
285,tt4063178,20.0
286,tt3685236,67.0
287,tt0804529,70.0
288,tt3993894,93.0
289,tt1734548,78.0
290,tt3093546,82.0
291,tt1884414,88.0
292,tt5243424,75.0
293,tt0307351,56.0
294,tt9016016,99.0
295,tt0377749,50.0
296,tt3312868,79.0
297,tt7407496,90.0
298,tt7608418,73.0
299,tt2114504,13.0
300,tt0118836,13.0
301,tt0033712,100.0
302,tt0024473,100.0
303,tt0048281,100.0
304,tt0044876,100.0
305,tt0051036,98.0
306,tt1276996,86.0
307,tt1033575,88.0
308,tt0375063,97.0
309,tt0115906,81.0
310,tt0257360,85.0
311,tt1821549,91.0
312,tt0126886,92.0
313,tt1389072,46.0
314,tt6752848,96.0
315,tt0799915,85.0
316,tt4192652,67.0
317,tt0790686,15.0
318,tt0454841,52.0
319,tt3991412,38.0
320,tt1528071,41.0
321,tt3600588,79.0
322,tt1493886,82.0
323,tt3739110,44.0
324,tt2027064,83.0
325,tt8026554,89.0
326,tt1325014,72.0
327,tt8974964,81.0
328,tt4372240,88.0
329,tt1901024,0.0
330,tt0997263,76.0
