,index,tconst,Movie title,Year,Genres,IMDb rating,Nb votes,Rotten Tomatoes rating,Genre
0,0,tt0004972,The Birth of a Nation,1915,"Drama,History,War",6.2,24930.0,9.3,Drama
1,0,tt0004972,The Birth of a Nation,1915,"Drama,History,War",6.2,24930.0,9.3,History
2,0,tt0004972,The Birth of a Nation,1915,"Drama,History,War",6.2,24930.0,9.3,War
3,1,tt0006864,Intolerance,1916,"Drama,History",7.7,15699.0,9.7,Drama
4,1,tt0006864,Intolerance,1916,"Drama,History",7.7,15699.0,9.7,History
5,2,tt0009968,Broken Blossoms,1919,"Drama,Romance",7.3,10442.0,9.5,Drama
6,2,tt0009968,Broken Blossoms,1919,"Drama,Romance",7.3,10442.0,9.5,Romance
7,3,tt0010323,The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller",8.0,64403.0,,Horror
8,3,tt0010323,The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller",8.0,64403.0,,Mystery
9,3,tt0010323,The Cabinet of Dr. Caligari,1920,"Horror,Mystery,Thriller",8.0,64403.0,,Thriller
10,4,tt0011237,The Golem,1920,"Fantasy,Horror",7.2,7834.0,,Fantasy
11,4,tt0011237,The Golem,1920,"Fantasy,Horror",7.2,7834.0,,Horror
12,5,tt0012349,The Kid,1921,"Comedy,Drama,Family",8.3,126661.0,,Comedy
13,5,tt0012349,The Kid,1921,"Comedy,Drama,Family",8.3,126661.0,,Drama
14,5,tt0012349,The Kid,1921,"Comedy,Drama,Family",8.3,126661.0,,Family
15,6,tt0012364,The Phantom Carriage,1921,"Drama,Fantasy,Horror",8.0,12696.0,,Drama
16,6,tt0012364,The Phantom Carriage,1921,"Drama,Fantasy,Horror",8.0,12696.0,,Fantasy
17,6,tt0012364,The Phantom Carriage,1921,"Drama,Fantasy,Horror",8.0,12696.0,,Horror
18,7,tt0012494,Destiny,1921,"Drama,Fantasy,Horror",7.6,6167.0,,Drama
19,7,tt0012494,Destiny,1921,"Drama,Fantasy,Horror",7.6,6167.0,,Fantasy
20,7,tt0012494,Destiny,1921,"Drama,Fantasy,Horror",7.6,6167.0,,Horror
21,8,tt0013086,"Dr. Mabuse, the Gambler",1922,"Crime,Mystery,Thriller",7.8,8526.0,,Crime
22,8,tt0013086,"Dr. Mabuse, the Gambler",1922,"Crime,Mystery,Thriller",7.8,8526.0,,Mystery
23,8,tt0013086,"Dr. Mabuse, the Gambler",1922,"Crime,Mystery,Thriller",7.8,8526.0,,Thriller
24,9,tt0013257,Häxan,1922,"Documentary,Fantasy,Horror",7.6,14769.0,,Documentary
25,9,tt0013257,Häxan,1922,"Documentary,Fantasy,Horror",7.6,14769.0,,Fantasy
26,9,tt0013257,Häxan,1922,"Documentary,Fantasy,Horror",7.6,14769.0,,Horror
27,10,tt0013427,Nanook of the North,1922,Documentary,7.6,12454.0,10.0,Documentary
28,11,tt0013442,Nosferatu,1922,"Fantasy,Horror",7.9,98065.0,,Fantasy
29,11,tt0013442,Nosferatu,1922,"Fantasy,Horror",7.9,98065.0,,Horror
30,12,tt0014341,Our Hospitality,1923,"Comedy,Romance,Thriller",7.8,11448.0,,Comedy
31,12,tt0014341,Our Hospitality,1923,"Comedy,Romance,Thriller",7.8,11448.0,,Romance
32,12,tt0014341,Our Hospitality,1923,"Comedy,Romance,Thriller",7.8,11448.0,,Thriller
33,13,tt0014429,Safety Last!,1923,"Action,Comedy,Thriller",8.1,20912.0,,Action
34,13,tt0014429,Safety Last!,1923,"Action,Comedy,Thriller",8.1,20912.0,,Comedy
35,13,tt0014429,Safety Last!,1923,"Action,Comedy,Thriller",8.1,20912.0,,Thriller
36,14,tt0015064,The Last Laugh,1924,Drama,8.0,14181.0,,Drama
37,15,tt0015163,The Navigator,1924,"Action,Comedy,Romance",7.6,10116.0,,Action
38,15,tt0015163,The Navigator,1924,"Action,Comedy,Romance",7.6,10116.0,,Comedy
39,15,tt0015163,The Navigator,1924,"Action,Comedy,Romance",7.6,10116.0,,Romance
40,16,tt0015324,Sherlock Jr.,1924,"Action,Comedy,Romance",8.2,50314.0,,Action
41,16,tt0015324,Sherlock Jr.,1924,"Action,Comedy,Romance",8.2,50314.0,,Comedy
42,16,tt0015324,Sherlock Jr.,1924,"Action,Comedy,Romance",8.2,50314.0,,Romance
43,17,tt0015361,Strike,1925,Drama,7.6,8088.0,,Drama
44,18,tt0015400,The Thief of Bagdad,1924,"Adventure,Family,Fantasy",7.7,6306.0,9.6,Adventure
45,18,tt0015400,The Thief of Bagdad,1924,"Adventure,Family,Fantasy",7.7,6306.0,9.6,Family
46,18,tt0015400,The Thief of Bagdad,1924,"Adventure,Family,Fantasy",7.7,6306.0,9.6,Fantasy
47,19,tt0015532,The Adventures of Prince Achmed,1926,"Adventure,Animation,Family",7.8,6307.0,,Adventure
48,19,tt0015532,The Adventures of Prince Achmed,1926,"Adventure,Animation,Family",7.8,6307.0,,Animation
49,19,tt0015532,The Adventures of Prince Achmed,1926,"Adventure,Animation,Family",7.8,6307.0,,Family
50,20,tt0015624,The Big Parade,1925,"Drama,Romance,War",7.9,6844.0,10.0,Drama
51,20,tt0015624,The Big Parade,1925,"Drama,Romance,War",7.9,6844.0,10.0,Romance
52,20,tt0015624,The Big Parade,1925,"Drama,Romance,War",7.9,6844.0,10.0,War
53,21,tt0015648,Battleship Potemkin,1925,"Drama,History,Thriller",8.0,58077.0,,Drama
54,21,tt0015648,Battleship Potemkin,1925,"Drama,History,Thriller",8.0,58077.0,,History
55,21,tt0015648,Battleship Potemkin,1925,"Drama,History,Thriller",8.0,58077.0,,Thriller
56,22,tt0015864,The Gold Rush,1925,"Adventure,Comedy,Drama",8.2,111654.0,,Adventure
57,22,tt0015864,The Gold Rush,1925,"Adventure,Comedy,Drama",8.2,111654.0,,Comedy
58,22,tt0015864,The Gold Rush,1925,"Adventure,Comedy,Drama",8.2,111654.0,,Drama
59,23,tt0015881,Greed,1924,"Drama,Thriller,Western",8.1,10084.0,,Drama
60,23,tt0015881,Greed,1924,"Drama,Thriller,Western",8.1,10084.0,,Thriller
61,23,tt0015881,Greed,1924,"Drama,Thriller,Western",8.1,10084.0,,Western
62,24,tt0016220,The Phantom of the Opera,1925,Horror,7.5,18683.0,,Horror
63,25,tt0016332,Seven Chances,1925,"Comedy,Romance",7.8,10498.0,,Comedy
64,25,tt0016332,Seven Chances,1925,"Comedy,Romance",7.8,10498.0,,Romance
65,26,tt0016641,Ben-Hur: A Tale of the Christ,1925,"Adventure,Drama,Romance",7.8,7680.0,,Adventure
66,26,tt0016641,Ben-Hur: A Tale of the Christ,1925,"Adventure,Drama,Romance",7.8,7680.0,,Drama
67,26,tt0016641,Ben-Hur: A Tale of the Christ,1925,"Adventure,Drama,Romance",7.8,7680.0,,Romance
68,27,tt0016847,Faust,1926,"Drama,Fantasy,Horror",8.1,15454.0,9.4,Drama
69,27,tt0016847,Faust,1926,"Drama,Fantasy,Horror",8.1,15454.0,9.4,Fantasy
70,27,tt0016847,Faust,1926,"Drama,Fantasy,Horror",8.1,15454.0,9.4,Horror
71,28,tt0017075,The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery",7.3,12141.0,9.6,Crime
72,28,tt0017075,The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery",7.3,12141.0,9.6,Drama
73,28,tt0017075,The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery",7.3,12141.0,9.6,Mystery
74,29,tt0017136,Metropolis,1927,"Drama,Sci-Fi",8.3,174533.0,9.7,Drama
75,29,tt0017136,Metropolis,1927,"Drama,Sci-Fi",8.3,174533.0,9.7,Sci-Fi
76,30,tt0017925,The General,1926,"Action,Adventure,Comedy",8.2,91722.0,,Action
77,30,tt0017925,The General,1926,"Action,Adventure,Comedy",8.2,91722.0,,Adventure
78,30,tt0017925,The General,1926,"Action,Adventure,Comedy",8.2,91722.0,,Comedy
79,31,tt0018037,The Jazz Singer,1927,"Drama,Music,Musical",6.4,10173.0,7.5,Drama
80,31,tt0018037,The Jazz Singer,1927,"Drama,Music,Musical",6.4,10173.0,7.5,Music
81,31,tt0018037,The Jazz Singer,1927,"Drama,Music,Musical",6.4,10173.0,7.5,Musical
82,32,tt0018192,Napoleon,1927,"Biography,Drama,History",8.2,7919.0,,Biography
83,32,tt0018192,Napoleon,1927,"Biography,Drama,History",8.2,7919.0,,Drama
84,32,tt0018192,Napoleon,1927,"Biography,Drama,History",8.2,7919.0,,History
85,33,tt0018217,October (Ten Days that Shook the World),1927,"Drama,History",7.4,7963.0,,Drama
86,33,tt0018217,October (Ten Days that Shook the World),1927,"Drama,History",7.4,7963.0,,History
87,34,tt0018455,Sunrise,1927,"Drama,Romance",8.1,51269.0,,Drama
88,34,tt0018455,Sunrise,1927,"Drama,Romance",8.1,51269.0,,Romance
89,35,tt0018528,The Unknown,1927,"Drama,Horror,Romance",7.8,8140.0,,Drama
90,35,tt0018528,The Unknown,1927,"Drama,Horror,Romance",7.8,8140.0,,Horror
91,35,tt0018528,The Unknown,1927,"Drama,Horror,Romance",7.8,8140.0,,Romance
92,36,tt0018578,Wings,1927,"Action,Drama,Romance",7.6,13117.0,,Action
93,36,tt0018578,Wings,1927,"Action,Drama,Romance",7.6,13117.0,,Drama
94,36,tt0018578,Wings,1927,"Action,Drama,Romance",7.6,13117.0,,Romance
95,37,tt0018737,Pandora's Box,1929,"Crime,Drama,Romance",7.8,10950.0,,Crime
96,37,tt0018737,Pandora's Box,1929,"Crime,Drama,Romance",7.8,10950.0,,Drama
97,37,tt0018737,Pandora's Box,1929,"Crime,Drama,Romance",7.8,10950.0,,Romance
98,38,tt0018742,The Cameraman,1928,"Comedy,Drama,Family",8.0,11958.0,,Comedy
99,38,tt0018742,The Cameraman,1928,"Comedy,Drama,Family",8.0,11958.0,,Drama
100,38,tt0018742,The Cameraman,1928,"Comedy,Drama,Family",8.0,11958.0,,Family
101,39,tt0018773,The Circus,1928,"Comedy,Family,Romance",8.1,34000.0,,Comedy
102,39,tt0018773,The Circus,1928,"Comedy,Family,Romance",8.1,34000.0,,Family
103,39,tt0018773,The Circus,1928,"Comedy,Family,Romance",8.1,34000.0,,Romance
104,40,tt0018806,The Crowd,1928,"Drama,Romance",8.1,8514.0,,Drama
105,40,tt0018806,The Crowd,1928,"Drama,Romance",8.1,8514.0,,Romance
106,41,tt0019130,The Man Who Laughs,1928,"Drama,Horror,Mystery",7.7,7116.0,,Drama
107,41,tt0019130,The Man Who Laughs,1928,"Drama,Horror,Mystery",7.7,7116.0,,Horror
108,41,tt0019130,The Man Who Laughs,1928,"Drama,Horror,Mystery",7.7,7116.0,,Mystery
109,42,tt0019254,The Passion of Joan of Arc,1928,"Biography,Drama,History",8.2,55119.0,,Biography
110,42,tt0019254,The Passion of Joan of Arc,1928,"Biography,Drama,History",8.2,55119.0,,Drama
111,42,tt0019254,The Passion of Joan of Arc,1928,"Biography,Drama,History",8.2,55119.0,,History
112,43,tt0019421,"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama",7.8,14861.0,,Action
113,43,tt0019421,"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama",7.8,14861.0,,Comedy
114,43,tt0019421,"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama",7.8,14861.0,,Drama
115,44,tt0019585,The Wind,1928,"Drama,Romance,Thriller",8.0,6741.0,,Drama
116,44,tt0019585,The Wind,1928,"Drama,Romance,Thriller",8.0,6741.0,,Romance
117,44,tt0019585,The Wind,1928,"Drama,Romance,Thriller",8.0,6741.0,,Thriller
118,45,tt0019702,Blackmail,1929,"Crime,Thriller",6.9,10879.0,8.6,Crime
119,45,tt0019702,Blackmail,1929,"Crime,Thriller",6.9,10879.0,8.6,Thriller
120,46,tt0019729,The Broadway Melody,1929,"Drama,Musical,Romance",5.6,7360.0,3.3,Drama
121,46,tt0019729,The Broadway Melody,1929,"Drama,Musical,Romance",5.6,7360.0,3.3,Musical
122,46,tt0019729,The Broadway Melody,1929,"Drama,Musical,Romance",5.6,7360.0,3.3,Romance
123,47,tt0019760,Man with a Movie Camera,1929,"Documentary,Music",8.4,25297.0,,Documentary
124,47,tt0019760,Man with a Movie Camera,1929,"Documentary,Music",8.4,25297.0,,Music
125,48,tt0019777,The Cocoanuts,1929,"Adventure,Comedy,Musical",6.8,7775.0,,Adventure
126,48,tt0019777,The Cocoanuts,1929,"Adventure,Comedy,Musical",6.8,7775.0,,Comedy
127,48,tt0019777,The Cocoanuts,1929,"Adventure,Comedy,Musical",6.8,7775.0,,Musical
128,49,tt0020629,All Quiet on the Western Front,1930,"Drama,War",8.1,62266.0,,Drama
129,49,tt0020629,All Quiet on the Western Front,1930,"Drama,War",8.1,62266.0,,War
130,50,tt0020640,Animal Crackers,1930,"Comedy,Family,Musical",7.4,14603.0,,Comedy
131,50,tt0020640,Animal Crackers,1930,"Comedy,Family,Musical",7.4,14603.0,,Family
132,50,tt0020640,Animal Crackers,1930,"Comedy,Family,Musical",7.4,14603.0,,Musical
133,51,tt0020697,The Blue Angel,1930,"Drama,Music",7.7,15242.0,,Drama
134,51,tt0020697,The Blue Angel,1930,"Drama,Music",7.7,15242.0,,Music
135,52,tt0021079,Little Caesar,1931,"Action,Crime,Drama",7.2,13486.0,9.2,Action
136,52,tt0021079,Little Caesar,1931,"Action,Crime,Drama",7.2,13486.0,9.2,Crime
137,52,tt0021079,Little Caesar,1931,"Action,Crime,Drama",7.2,13486.0,9.2,Drama
138,53,tt0021156,Morocco,1930,"Drama,Romance",7.0,6905.0,,Drama
139,53,tt0021156,Morocco,1930,"Drama,Romance",7.0,6905.0,,Romance
140,54,tt0021165,Murder!,1930,"Crime,Mystery,Thriller",6.3,6473.0,8.8,Crime
141,54,tt0021165,Murder!,1930,"Crime,Mystery,Thriller",6.3,6473.0,8.8,Mystery
142,54,tt0021165,Murder!,1930,"Crime,Mystery,Thriller",6.3,6473.0,8.8,Thriller
143,55,tt0021331,The Blood of a Poet,1932,Fantasy,7.3,6850.0,,Fantasy
144,56,tt0021577,L'Age d'Or,1930,"Comedy,Drama",7.2,14047.0,,Comedy
145,56,tt0021577,L'Age d'Or,1930,"Comedy,Drama",7.2,14047.0,,Drama
146,57,tt0021746,Cimarron,1931,"Drama,Western",5.8,6291.0,5.0,Drama
147,57,tt0021746,Cimarron,1931,"Drama,Western",5.8,6291.0,5.0,Western
148,58,tt0021749,City Lights,1931,"Comedy,Drama,Romance",8.5,184706.0,,Comedy
149,58,tt0021749,City Lights,1931,"Comedy,Drama,Romance",8.5,184706.0,,Drama
150,58,tt0021749,City Lights,1931,"Comedy,Drama,Romance",8.5,184706.0,,Romance
151,59,tt0021814,Dracula,1931,"Drama,Fantasy,Horror",7.4,53475.0,9.2,Drama
152,59,tt0021814,Dracula,1931,"Drama,Fantasy,Horror",7.4,53475.0,9.2,Fantasy
153,59,tt0021814,Dracula,1931,"Drama,Fantasy,Horror",7.4,53475.0,9.2,Horror
