,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
97,nm0000375,actor,Robert Downey Jr.,7.68,10,1.0
56,nm0000204,actress,Natalie Portman,7.3999999999999995,8,1.0
22,nm0000138,actor,Leonardo DiCaprio,8.18888888888889,9,0.9
5,nm0000093,actor,Brad Pitt,8.044444444444444,9,0.9
366,nm0262635,actor,Chris Evans,7.8125,8,0.8
297,nm0005212,actor,Ian McKellen,8.2,7,0.7
28,nm0000148,actor,Harrison Ford,8.383333333333333,6,0.6
327,nm0089217,actor,Orlando Bloom,8.183333333333334,6,0.6
36,nm0000158,actor,Tom Hanks,8.450000000000001,6,0.6
39,nm0000168,actor,Samuel L. Jackson,7.816666666666666,6,0.6
20,nm0000134,actor,Robert De Niro,8.383333333333333,6,0.6
554,nm1165110,actor,Chris Hemsworth,7.633333333333333,6,0.6
481,nm0749263,actor,Mark Ruffalo,7.8999999999999995,6,0.6
603,nm2225369,actress,Jennifer Lawrence,7.525,4,0.5
422,nm0461136,actress,Keira Knightley,7.625,4,0.5
104,nm0000402,actress,Carrie Fisher,8.125,4,0.5
94,nm0000354,actor,Matt Damon,8.28,5,0.5
395,nm0342488,actor,Rupert Grint,7.74,5,0.5
72,nm0000246,actor,Bruce Willis,8.26,5,0.5
524,nm0914612,actress,Emma Watson,7.775,4,0.5
409,nm0413168,actor,Hugh Jackman,7.9799999999999995,5,0.5
468,nm0705356,actor,Daniel Radcliffe,7.74,5,0.5
412,nm0424060,actress,Scarlett Johansson,8.025,4,0.5
621,nm3053338,actress,Margot Robbie,7.233333333333333,3,0.4
312,nm0010736,actress,Amy Adams,7.133333333333333,3,0.4
143,nm0000569,actress,Gwyneth Paltrow,7.3,3,0.4
487,nm0757855,actress,Zoe Saldana,7.8,3,0.4
70,nm0000244,actress,Sigourney Weaver,8.233333333333334,3,0.4
67,nm0000235,actress,Uma Thurman,8.366666666666667,3,0.4
79,nm0000288,actor,Christian Bale,8.525,4,0.4
400,nm0362766,actor,Tom Hardy,8.075,4,0.4
109,nm0000434,actor,Mark Hamill,8.125,4,0.4
86,nm0000323,actor,Michael Caine,8.35,4,0.4
47,nm0000191,actor,Ewan McGregor,7.199999999999999,4,0.4
53,nm0000199,actor,Al Pacino,8.7,4,0.4
549,nm1089991,actor,Tom Hiddleston,7.233333333333333,3,0.3
258,nm0001772,actor,Patrick Stewart,7.766666666666667,3,0.3
252,nm0001691,actor,Geoffrey Rush,7.733333333333333,3,0.3
166,nm0000704,actor,Elijah Wood,8.866666666666667,3,0.3
25,nm0000142,actor,Clint Eastwood,8.333333333333334,3,0.3
51,nm0000197,actor,Jack Nicholson,8.533333333333333,3,0.3
21,nm0000136,actor,Johnny Depp,7.5,3,0.3
132,nm0000514,actor,Michael Madsen,8.166666666666666,3,0.3
31,nm0000151,actor,Morgan Freeman,8.666666666666666,3,0.3
362,nm0251986,actor,Jesse Eisenberg,7.133333333333333,3,0.3
347,nm0185819,actor,Daniel Craig,7.900000000000001,3,0.3
561,nm1212722,actor,Benedict Cumberbatch,7.933333333333334,3,0.3
93,nm0000353,actor,Willem Dafoe,7.666666666666667,3,0.3
63,nm0000228,actor,Kevin Spacey,8.5,3,0.3
238,nm0001570,actor,Edward Norton,8.333333333333334,3,0.3
11,nm0000114,actor,Steve Buscemi,8.1,3,0.3
467,nm0695435,actor,Chris Pratt,7.5,3,0.3
73,nm0000255,actor,Ben Affleck,7.6000000000000005,3,0.3
112,nm0000438,actor,Ed Harris,8.033333333333333,3,0.3
140,nm0000553,actor,Liam Neeson,7.8999999999999995,3,0.3
190,nm0000983,actor,Albert Brooks,8.066666666666666,3,0.3
526,nm0915989,actor,Hugo Weaving,7.933333333333333,3,0.3
346,nm0177896,actor,Bradley Cooper,7.8,3,0.3
57,nm0000206,actor,Keanu Reeves,8.05,2,0.2
37,nm0000164,actor,Anthony Hopkins,7.8,2,0.2
99,nm0000380,actor,Robert Duvall,8.75,2,0.2
13,nm0000120,actor,Jim Carrey,8.25,2,0.2
87,nm0000332,actor,Don Cheadle,7.0,2,0.2
597,nm1940449,actor,Andrew Garfield,7.35,2,0.2
279,nm0004266,actress,Anne Hathaway,8.5,2,0.2
631,nm4043618,actor,Tom Holland,7.8500000000000005,2,0.2
60,nm0000216,actor,Arnold Schwarzenegger,8.35,2,0.2
111,nm0000437,actor,Woody Harrelson,7.699999999999999,2,0.2
27,nm0000147,actor,Colin Firth,7.85,2,0.2
590,nm1727304,actor,Domhnall Gleeson,7.9,2,0.2
46,nm0000190,actor,Matthew McConaughey,8.399999999999999,2,0.2
619,nm2955013,actor,Liam Hemsworth,7.35,2,0.2
62,nm0000226,actor,Will Smith,6.550000000000001,2,0.2
609,nm2368789,actress,Zoë Kravitz,8.0,2,0.2
299,nm0005251,actress,Carrie-Anne Moss,8.55,2,0.2
123,nm0000473,actress,Diane Keaton,9.1,2,0.2
354,nm0205626,actress,Viola Davis,7.0,2,0.2
203,nm0001132,actress,Judi Dench,7.9,2,0.2
167,nm0000705,actress,Robin Wright,8.100000000000001,2,0.2
185,nm0000949,actress,Cate Blanchett,7.85,2,0.2
165,nm0000701,actress,Kate Winslet,8.100000000000001,2,0.2
543,nm1046097,actress,Rachel McAdams,7.55,2,0.2
98,nm0000379,actress,Kirsten Dunst,7.4,2,0.2
583,nm1567113,actress,Jessica Chastain,8.3,2,0.2
635,nm5397459,actress,Daisy Ridley,7.35,2,0.2
110,nm0000435,actress,Daryl Hannah,8.1,2,0.2
630,nm3918035,actress,Zendaya,8.15,2,0.2
35,nm0000157,actress,Linda Hamilton,8.35,2,0.2
29,nm0000149,actress,Jodie Foster,8.399999999999999,2,0.2
15,nm0000124,actress,Jennifer Connelly,8.25,2,0.2
26,nm0000146,actor,Ralph Fiennes,8.55,2,0.2
52,nm0000198,actor,Gary Oldman,8.45,2,0.2
105,nm0000411,actor,Edward Furlong,8.55,2,0.2
246,nm0001626,actor,Christopher Plummer,8.25,2,0.2
173,nm0000741,actor,Tim Allen,8.3,2,0.2
564,nm1242688,actor,Josh Hutcherson,7.35,2,0.2
193,nm0001016,actor,David Carradine,8.1,2,0.2
154,nm0000620,actor,Mickey Rourke,7.45,2,0.2
544,nm1055413,actor,Michael Fassbender,7.9,2,0.2
537,nm0942482,actor,Jeffrey Wright,7.95,2,0.2
156,nm0000640,actor,Martin Sheen,8.3,2,0.2
176,nm0000849,actor,Javier Bardem,8.0,2,0.2
523,nm0913822,actor,Ken Watanabe,8.5,2,0.2
0,nm0000008,actor,Marlon Brando,8.85,2,0.2
214,nm0001321,actor,Richard Harris,7.5,2,0.2
