tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0004972,1915,6.2,The Birth of a Nation,m/birth_of_a_nation,The Birth of a Nation,Fresh,93.0
tt0006864,1916,7.7,Intolerance,m/1010644-intolerance,Intolerance,Fresh,97.0
tt0009968,1919,7.3,Broken Blossoms,m/1003120-broken_blossoms,Broken Blossoms,Fresh,95.0
tt0010323,1920,8.0,The Cabinet of Dr. Caligari,m/the_cabinet_of_dr_caligari,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari),Certified-Fresh,98.0
tt0011237,1920,7.2,The Golem,,,,
tt0012494,1921,7.6,Destiny,,,,
tt0013086,1922,7.8,"Dr. Mabuse, the Gambler",,,,
tt0013427,1922,7.6,Nanook of the North,m/nanook_of_the_north,Nanook of the North,Fresh,100.0
tt0013442,1922,7.9,Nosferatu,,,,
tt0014341,1923,7.8,Our Hospitality,,,,
tt0014429,1923,8.1,Safety Last!,m/safety_last,Safety Last!,Fresh,97.0
tt0014429,1923,8.1,Safety Last!,m/safety_last,Safety Last!,Fresh,97.0
tt0015064,1924,8.0,The Last Laugh,,,,
tt0015163,1924,7.6,The Navigator,,,,
tt0015361,1925,7.6,Strike,,,,
tt0015400,1924,7.7,The Thief of Bagdad,m/the_thief_of_bagdad,The Thief of Bagdad,Fresh,96.0
tt0015532,1926,7.8,The Adventures of Prince Achmed,,,,
tt0015532,1926,7.8,The Adventures of Prince Achmed,,,,
tt0015624,1925,7.9,The Big Parade,,,,
tt0015624,1925,7.9,The Big Parade,,,,
tt0015648,1925,8.0,Battleship Potemkin,m/battleship_potemkin,Battleship Potemkin,Certified-Fresh,100.0
tt0015881,1924,8.1,Greed,,,,
tt0016220,1925,7.5,The Phantom of the Opera,,,,
tt0016220,1925,7.5,The Phantom of the Opera,,,,
tt0016220,1925,7.5,The Phantom of the Opera,,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,,,
tt0016641,1925,7.8,Ben-Hur: A Tale of the Christ,,,,
tt0016847,1926,8.1,Faust,m/1031274-faust,Faust,Fresh,94.0
tt0017075,1927,7.3,The Lodger: A Story of the London Fog,m/1044925-lodger,The Lodger: A Story of the London Fog,Fresh,96.0
tt0017136,1927,8.3,Metropolis,m/1013775-metropolis,Metropolis,Certified-Fresh,97.0
tt0017925,1926,8.2,The General,,,,
tt0018037,1927,6.4,The Jazz Singer,m/1010978-jazz_singer,The Jazz Singer,Fresh,75.0
tt0018192,1927,8.2,Napoleon,,,,
tt0018217,1927,7.4,October (Ten Days that Shook the World),,,,
tt0018217,1927,7.4,October (Ten Days that Shook the World),,,,
tt0018455,1927,8.1,Sunrise,,,,
tt0018528,1927,7.8,The Unknown,,,,
